customer_id,country,age,gender,membership_tier,registration_date,total_orders,total_spend_usd,avg_order_value_usd,days_since_last_purchase,preferred_category,preferred_device,preferred_payment_method,acquisition_channel,reviews_given,avg_review_score,returns_made,wishlist_items,newsletter_subscribed,churned,orders_with_discount,avg_discount_pct,total_discount_usd,discount_ratio,recency_log,frequency_log,monetary_log,recency_final,frequency_final,monetary_final,Cluster_RFM,recency_cat,frequency_cat,monetary_cat,account_age_days,age_group,region,Cluster_LCA,prob_max_clase
C00041,Brazil,41,Female,Free,2025-03-04,25,1245.31,50.63,105,Clothing & Apparel,Desktop,Credit Card,Social Media,7,4.9,2,17,1,0,1.0,8.333333333333334,73.2,0.04,4.663439094112067,3.258096538021482,7.127942464550442,0.9205108250975721,0.8399238177131615,0.3802365206738237,0,Dormido,Frecuente,Gasto Medio,454,36-45,Latinoamérica,1,0.6061369961648676
C00042,India,40,Female,Free,2022-04-26,4,253.36,74.17,32,Jewelry & Accessories,Mobile,Credit Card,Social Media,0,3.7,0,6,1,0,1.0,5.0,19.11,0.25,3.4965075614664802,1.6094379124341003,5.538750586399207,-0.041960601707030656,-0.9984843863130948,-0.8775541004155522,2,En Riesgo,Ocasional,Gasto Bajo,1497,36-45,Asia,1,0.7912228097731014
C00043,United Kingdom,32,Female,Free,2025-06-15,2,283.73,126.66,8,Sports & Outdoors,Mobile,Bank Transfer,Email Campaign,0,2.8,0,0,0,0,1.0,1.6666666666666667,0.53,0.5,2.1972245773362196,1.0986122886681098,5.6515413628105104,-1.1135939517148885,-1.5681026220006942,-0.7882840867274846,2,Activo,Ocasional,Gasto Bajo,351,26-35,Europa,2,0.46222740349464725
C00044,United States,56,Male,Free,2025-03-23,18,1184.28,57.63,154,Food & Grocery,Desktop,PayPal,Social Media,2,2.8,0,1,0,0,0.0,0.0,0.0,0.0,5.043425116919247,2.9444389791664403,7.0777343125777055,1.233918835169838,0.49016637217253833,0.34049849814692534,0,Dormido,Frecuente,Gasto Medio,435,56+,Norteamérica,0,0.5019316372381784
C00045,South Korea,25,Female,Free,2024-05-23,25,4860.47,202.18,24,Home & Kitchen,Mobile,Credit Card,Social Media,9,4.4,1,3,1,0,1.0,7.5,62.79,0.04,3.2188758248682006,3.258096538021482,8.489096140295775,-0.27094799828905625,0.8399238177131615,1.4575427608778044,0,Activo,Frecuente,Gasto Alto,739,18-25,Asia,0,0.5702276149780705
C00046,Japan,53,Female,Platinum,2022-08-03,1,414.12,472.59,63,Books,Desktop,Debit Card,Email Campaign,0,4.5,0,6,0,0,2.0,20.0,124.5,2.0,4.1588830833596715,0.6931471805599453,6.028567635059484,0.50435895158471,-2.020234051529878,-0.4898807814634746,2,En Riesgo,Compra Unica,Gasto Bajo,1398,46-55,Asia,0,0.4692809745626374
C00047,United States,36,Female,Silver,2024-01-30,60,3223.01,62.09,85,Books,Mobile,Cryptocurrency,Email Campaign,23,3.2,1,3,1,0,3.0,11.666666666666666,30.5,0.05,4.454347296253507,4.110873864173311,8.078381205358681,0.7480543652384243,1.7908501091075006,1.1324760397300841,0,Dormido,Frecuente,Gasto Alto,853,36-45,Norteamérica,1,0.46111668734638234
C00048,Netherlands,48,Female,Free,2019-12-10,14,4159.74,287.88,25,Home & Kitchen,Mobile,Credit Card,Paid Ad,0,3.5,1,9,1,0,1.0,5.0,10.84,0.07142857142857142,3.258096538021482,2.70805020110221,8.333448222051102,-0.2385992145833392,0.2265708271711033,1.3343527959328632,0,Activo,Frecuente,Gasto Alto,2365,46-55,Europa,2,0.5018018687597645
C00049,Canada,32,Male,Free,2025-01-27,44,2982.35,76.35,50,Electronics,Mobile,Credit Card,Direct,5,4.4,4,10,1,0,0.0,0.0,0.0,0.0,3.9318256327243257,3.8066624897703196,8.000802109177366,0.3170846322558232,1.4516260406553012,1.0710748578394709,0,En Riesgo,Frecuente,Gasto Alto,490,26-35,Norteamérica,2,0.43443427008186747
C00050,Canada,46,Male,Free,2022-06-30,47,1253.78,25.41,56,Electronics,Desktop,PayPal,Social Media,17,4.6,6,2,1,0,0.0,0.0,0.0,0.0,4.04305126783455,3.871201010907891,7.134715537394472,0.40882223015849206,1.5235925138193631,0.3855971744855503,0,En Riesgo,Frecuente,Gasto Medio,1432,46-55,Norteamérica,0,0.5435792468334306
C00052,Germany,20,Male,Silver,2025-04-30,15,1060.97,81.51,4,Food & Grocery,Desktop,Credit Card,Paid Ad,2,3.5,0,0,1,0,1.0,2.5,6.58,0.06666666666666667,1.6094379124341003,2.772588722239781,6.967880952815315,-1.5983934915323468,0.2985373003351647,0.2535533485372802,1,Activo,Frecuente,Gasto Medio,397,18-25,Europa,0,0.5787862689389928
C00053,Brazil,24,Female,Free,2021-12-04,21,5401.99,224.1,73,Pet Supplies,Desktop,Credit Card,Organic Search,5,3.6,1,2,1,0,1.0,2.5,11.98,0.047619047619047616,4.30406509320417,3.091042453358316,8.594707783018736,0.6241033686754028,0.6536429254808819,1.5411307375853853,0,En Riesgo,Frecuente,Gasto Alto,1640,18-25,Latinoamérica,0,0.7039836759420152
C00054,Japan,24,Female,Gold,2026-02-25,14,3678.83,308.69,409,Books,Mobile,Credit Card,Direct,3,3.9,1,5,1,0,2.0,5.0,7.75,0.14285714285714285,6.016157159698354,2.70805020110221,8.210621834443751,2.036216802891744,0.2265708271711033,1.237139941727657,0,Dormido,Frecuente,Gasto Alto,96,18-25,Asia,1,0.4849407283450002
C00055,Mexico,18,Female,Free,2022-03-18,9,983.09,124.07,46,Beauty & Personal Care,Mobile,Credit Card,Paid Ad,1,4.3,0,8,1,0,2.0,1.6666666666666667,5.57,0.2222222222222222,3.8501476017100584,2.302585092994046,6.8917173562843645,0.2497175512835,-0.22556060235808023,0.1932724858534678,0,En Riesgo,Frecuente,Gasto Medio,1536,18-25,Norteamérica,2,0.6199610754778166
C00056,Germany,27,Male,Free,2025-05-22,22,1571.63,72.69,40,Electronics,Tablet,Debit Card,Email Campaign,5,4.7,0,8,1,0,0.0,0.0,0.0,0.0,3.713572066704308,3.1354942159291497,7.360504656063745,0.13707165358839518,0.70321078854564,0.5643014830783115,0,En Riesgo,Frecuente,Gasto Alto,375,26-35,Europa,2,0.6396877429608925
C00057,United States,43,Female,Free,2024-10-24,6,393.57,59.43,4,Books,Mobile,Debit Card,Email Campaign,0,4.4,0,0,0,0,1.0,10.0,58.52,0.16666666666666666,1.6094379124341003,1.9459101490553132,5.977796564342562,-1.5983934915323468,-0.6232864462233948,-0.5300643347828511,1,Activo,Frecuente,Gasto Bajo,585,36-45,Norteamérica,1,0.5244361971600809
C00058,Poland,57,Male,Silver,2026-01-14,11,1893.43,161.39,18,Clothing & Apparel,Mobile,Buy Now Pay Later,Email Campaign,3,4.7,1,12,1,0,1.0,3.3333333333333335,2.6,0.09090909090909091,2.9444389791664403,2.4849066497880004,7.546673280712945,-0.4973002863718825,-0.02225505409066562,0.7116475356501882,1,Activo,Frecuente,Gasto Alto,138,56+,Otros,2,0.6555839539399425
C00060,Australia,28,Male,Free,2025-02-14,13,547.19,49.39,111,Home & Kitchen,Mobile,PayPal,Email Campaign,4,4.8,1,8,1,0,1.0,2.5,66.01,0.07692307692307693,4.718498871295094,2.6390573296152584,6.306621942184613,0.9659234828434371,0.14963733773161927,-0.26981037683596637,0,Dormido,Frecuente,Gasto Medio,472,26-35,Oceanía,0,0.8068260238778869
C00061,Germany,38,Female,Free,2025-11-29,6,273.95,44.32,42,Electronics,Mobile,Credit Card,Social Media,2,4.6,0,6,0,0,3.0,6.0,33.82,0.5,3.7612001156935624,1.9459101490553132,5.616589262953823,0.17635470917836668,-0.6232864462233948,-0.8159474696024734,2,En Riesgo,Frecuente,Gasto Bajo,184,36-45,Europa,2,0.4856319200733188
C00062,Germany,37,Male,Gold,2026-02-03,3,159.85,58.76,0,Books,Mobile,Credit Card,Organic Search,0,3.6,0,6,1,0,1.0,3.3333333333333335,8.67,0.3333333333333333,0.0,1.3862943611198906,5.080472253685035,-2.925838984775637,-1.2473102675748637,-1.2402656122607614,1,Activo,Ocasional,Gasto Bajo,118,36-45,Europa,1,0.6798462350539052
C00063,India,29,Male,Free,2026-03-17,17,1260.84,70.83,5,Food & Grocery,Tablet,Credit Card,Organic Search,5,3.5,2,5,1,0,2.0,11.666666666666666,36.89,0.11764705882352941,1.791759469228055,2.8903717578961645,7.140326252179219,-1.448016812185205,0.4298763754385179,0.3900378619386424,1,Activo,Frecuente,Gasto Medio,76,26-35,Asia,0,0.6046116314619183
C00064,United States,54,Male,Free,2023-03-17,17,805.2,41.56,201,Health & Wellness,Mobile,Bank Transfer,Email Campaign,5,4.9,1,9,0,0,1.0,20.0,11.88,0.058823529411764705,5.308267697401205,2.8903717578961645,6.692331850683066,1.4523578859487503,0.4298763754385179,0.035465727352899136,0,Dormido,Frecuente,Gasto Medio,1172,46-55,Norteamérica,2,0.43192029042993324
C00065,Brazil,32,Male,Free,2025-03-10,7,247.71,33.51,66,Electronics,Desktop,Credit Card,Paid Ad,2,4.4,1,10,1,0,1.0,3.75,6.72,0.14285714285714285,4.204692619390966,2.0794415416798357,5.516287559088249,0.5421421190387061,-0.47438648361984964,-0.8953328126412063,2,En Riesgo,Frecuente,Gasto Bajo,448,26-35,Latinoamérica,0,0.5965117721452211
C00066,United Kingdom,48,Male,Silver,2026-03-05,2,77.86,39.67,3,Sports & Outdoors,Mobile,PayPal,Organic Search,0,4.2,0,4,1,0,0.0,0.0,0.0,0.0,1.3862943611198906,1.0986122886681098,4.367674128449481,-1.7824396726555212,-1.5681026220006942,-1.804420771230212,2,Activo,Ocasional,Gasto Bajo,88,46-55,Europa,1,0.42547465997885797
C00068,Germany,26,Male,Silver,2025-10-21,2,130.28,59.17,143,Books,Mobile,Credit Card,Email Campaign,0,4.3,0,0,0,0,1.0,10.0,15.92,0.5,4.969813299576001,1.0986122886681098,4.8773324467818355,1.173204672525343,-1.5681026220006942,-1.401043770899473,2,Dormido,Ocasional,Gasto Bajo,223,26-35,Europa,2,0.3740374758792952
C00069,Poland,24,Male,Gold,2025-01-03,31,1488.43,53.41,106,Books,Mobile,Credit Card,Social Media,6,4.6,1,2,1,0,2.0,13.75,46.08,0.06451612903225806,4.672828834461906,3.4657359027997265,7.306148775412888,0.9282553726901334,1.071461084290179,0.5212806761992598,0,Dormido,Frecuente,Gasto Alto,514,18-25,Otros,0,0.5250896644302042
C00070,United States,54,Male,Silver,2024-11-22,8,320.0,43.06,22,Pet Supplies,Mobile,UPI / Digital Wallet,Email Campaign,1,3.5,0,7,0,0,3.0,4.166666666666667,31.599999999999998,0.375,3.1354942159291497,2.1972245773362196,5.771441123130016,-0.33972017033148016,-0.34304740851649596,-0.6933875571931283,2,Activo,Frecuente,Gasto Bajo,556,46-55,Norteamérica,0,0.4708342996045446
C00071,United States,18,Male,Free,2024-11-29,10,457.24,45.18,22,Clothing & Apparel,Mobile,Credit Card,Paid Ad,3,4.7,0,0,1,0,0.0,0.0,0.0,0.0,3.1354942159291497,2.3978952727983707,6.127393064332226,-0.33972017033148016,-0.11928085847413247,-0.41166385890470114,2,Activo,Frecuente,Gasto Bajo,549,18-25,Norteamérica,1,0.5050055610396292
C00072,Singapore,32,Female,Free,2025-05-25,19,213.44,11.05,2,Food & Grocery,Mobile,PayPal,Organic Search,5,4.4,2,8,0,0,0.0,0.0,0.0,0.0,1.0986122886681098,2.995732273553991,5.368029978959337,-2.019716468245263,0.5473631815969336,-1.0126735795777249,1,Activo,Frecuente,Gasto Bajo,372,26-35,Asia,0,0.5472749900621953
C00074,UAE,24,Female,Silver,2026-03-19,40,5413.15,137.48,13,Food & Grocery,Desktop,UPI / Digital Wallet,Paid Ad,5,4.0,5,0,0,0,0.0,0.0,0.0,0.0,2.6390573296152584,3.713572066704308,8.596771175737986,-0.7491754853367365,1.3478215326602891,1.5427638418351484,0,Activo,Frecuente,Gasto Alto,74,18-25,Otros,0,0.5445877947717404
C00075,South Africa,30,Female,Free,2024-02-04,6,240.98,42.7,40,Automotive,Mobile,Credit Card,Email Campaign,1,4.5,0,0,0,0,2.0,5.0,153.93,0.3333333333333333,3.713572066704308,1.9459101490553132,5.488855078113332,0.13707165358839518,-0.6232864462233948,-0.9170446762354272,2,En Riesgo,Frecuente,Gasto Bajo,848,26-35,África,2,0.5640226338826926
C00076,India,18,Male,Free,2023-04-04,14,1342.04,83.44,77,Clothing & Apparel,Mobile,Debit Card,Paid Ad,4,4.5,0,3,0,0,0.0,0.0,0.0,0.0,4.356708826689592,2.70805020110221,7.202690980145226,0.667523301947035,0.2265708271711033,0.4393973955486985,0,Dormido,Frecuente,Gasto Medio,1154,18-25,Asia,1,0.4143653786101817
